Frame,Result,H,S,C,I,Boost,SPHY,Accepted,Sig,TS
51,111111111111111111111111111111111111111111111011111111111111111111111111111111111111111111111111111111111111111111111111,0.9822,0.9729,0.9,0.0092,1.501,91.0507,✅,05df1dfd738c7d95,2026-01-18T22:27:01.982946
52,111111111111111111111111111111111111111111111111111111111111101111111111111111111111111111111111111111111111111111111111,0.9879,0.9894,0.9,0.0015,1.3483,90.9438,✅,53da42ce38128a4e,2026-01-18T22:27:01.988750
53,111111111111111111111111111111111111111111111111111111111111111111111011111111111111111111111111111111111111111111111111,0.9838,0.9755,0.9,0.0083,1.4793,91.0355,✅,94328faba990e080,2026-01-18T22:27:01.994112
56,000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.9657,0.9547,0.9,0.011,1.5367,91.0757,✅,b31b498d39db99f7,2026-01-18T22:27:01.998166
54,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111111111111111111111,0.9966,0.9856,0.9,0.011,1.5138,91.0597,✅,f23760dee00ed8be,2026-01-18T22:27:01.995086
55,111111111111111111111111111111111111111111111111111111111111101111111111111111111111111111111111111111111111111111111111,0.9727,0.9685,0.9,0.0042,1.4042,90.9829,✅,e7e3bd11a4d1d816,2026-01-18T22:27:01.997268
59,111111111111111111111111111111111111111111111111111111111111111111111101111111111111111111111111111111111111111111111111,0.9715,0.9783,0.9,0.0067,1.4136,90.9895,✅,35d500cd48459f87,2026-01-18T22:27:02.009190
57,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111011111111,0.9849,0.987,0.9,0.0022,1.3319,90.9323,✅,d47d3e5b455871ba,2026-01-18T22:27:02.009122
60,111111111111111111111111111111111111111111111101111111111111111111111111111111111111111111111111111111111111111111111111,0.9885,0.9574,0.9,0.0312,1.9091,91.3364,✅,fccd91ce2f9f996e,2026-01-18T22:27:02.012305
58,111111111111111111111111111111111111111111111111111111111111111111111110111111111111111111111111111111111111111111111111,0.9588,0.9576,0.9,0.0012,1.3397,90.9378,✅,95ac76cb7b66f97c,2026-01-18T22:27:02.009159
61,111111111111101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,0.9993,0.9834,0.9,0.0159,1.5849,91.1094,✅,a64becf171e4832f,2026-01-18T22:27:02.018253
63,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111111111,0.9918,0.9605,0.9,0.0313,1.9141,91.3399,✅,cb1fac62f1ab9181,2026-01-18T22:27:02.023489
64,111111111111111111111111111111111111111111111111111111111111101111111111111111111111111111111111111111111111111111111111,0.9649,0.9524,0.9,0.0124,1.5211,91.0648,✅,eb52c6905fa6b1c6,2026-01-18T22:27:02.024082
62,111111111111111111111111111111111111111111111111111111110111111111111111111111111111111111111111111111111111111111111111,0.9675,0.9846,0.9,0.0171,1.5928,91.115,✅,b053d9beacb5ce88,2026-01-18T22:27:02.023428
